layer_bit_count,train_acc,test_acc
2,0.6674499999999999,0.6849999999999999
4,0.7301399999999999,0.7153333333333334
6,0.8055300000000001,0.7787999999999999
8,0.8280799999999999,0.7944666666666667
10,0.86296,0.8282666666666667
12,0.88059,0.8381333333333332
14,0.9109599999999999,0.8526666666666667
16,0.9168100000000001,0.8608
